game_id,year,round,a_team_id,a_name,a_seed,a_oe,a_de,a_sos,a_win_rate,a_srs,a_tov_rate,a_orb_rate,a_ft_pct,a_pos_per_game,a_fga_per_game,a_three_pa_per_game,a_fta_per_game,b_team_id,b_name,b_seed,b_oe,b_de,b_sos,b_win_rate,b_srs,b_tov_rate,b_orb_rate,b_ft_pct,b_pos_per_game,b_fga_per_game,b_three_pa_per_game,b_fta_per_game,team_a_won
1,2025,Men's Basketball Championship - South Region - First Four,50,san diego st,11,106.577,97.3477,8.14,0.677,12.77,0.165161,0.152531,0.664,66.4064,57.5484,23.129,18.2258,45,north carolina,11,114.62,106.025,11.22,0.622,17.27,0.152341,0.13891,0.741,70.4324,60.2703,22.4054,20.9459,0
2,2025,Men's Basketball Championship - South Region - First Four,3,alabama st,16,105.512,104.59,-8.19,0.556,-8.99,0.131188,0.167295,0.686,69.2389,63.6111,27.1667,18.4722,51,saint francis,16,104.92,105.702,-7.41,0.471,-12.76,0.191158,0.125991,0.727,67.6988,57.4118,24.1765,13.3529,1
3,2025,Men's Basketball Championship - Midwest Region - First Four,55,texas,11,114.774,106.209,9.79,0.543,15.65,0.1454,0.148742,0.749,68.3829,59.0571,20.8286,21.7143,66,xavier,11,112.645,103.23,8.72,0.647,15.25,0.157347,0.111967,0.789,69.3482,57.0,21.4118,20.9118,0
4,2025,Men's Basketball Championship - East Region - First Four,4,american,16,106.411,104.819,-6.85,0.629,-7.64,0.172045,0.119414,0.754,64.6011,54.0857,24.5429,16.1714,41,mount st marys,16,102.542,103.11,-6.48,0.639,-7.91,0.218571,0.148693,0.736,68.3733,55.9444,22.9722,17.3889,0
5,2025,Men's Basketball Championship - Midwest Region - 1st Round,23,houston,1,117.018,93.1855,13.45,0.875,28.45,0.142996,0.203372,0.74,62.939,59.6,20.7,16.225,17,siue,16,105.766,98.1244,-7.44,0.647,-6.12,0.168461,0.174974,0.67,67.7412,59.7059,22.0,19.2647,1
6,2025,Men's Basketball Championship - South Region - 1st Round,7,auburn,1,121.092,101.313,15.13,0.842,28.68,0.137875,0.17244,0.727,68.521,61.6842,25.1579,20.9211,3,alabama st,16,105.512,104.59,-8.19,0.556,-8.99,0.131188,0.167295,0.686,69.2389,63.6111,27.1667,18.4722,1
7,2025,Men's Basketball Championship - Midwest Region - 1st Round,54,tennessee,2,115.647,98.5446,13.25,0.789,24.2,0.163213,0.179658,0.745,64.0105,56.2632,24.3947,20.0,65,wofford,15,115.376,107.81,-2.34,0.543,-0.13,0.168467,0.199258,0.66,64.9554,59.0857,28.3429,17.8857,1
8,2025,Men's Basketball Championship - West Region - 1st Round,52,saint johns,2,111.268,93.268,8.56,0.861,21.25,0.154396,0.21072,0.691,70.5256,65.7222,20.3889,19.9444,42,omaha,15,112.916,109.871,-2.43,0.629,-1.61,0.158091,0.150165,0.722,68.496,58.6,23.0857,21.2571,1
9,2025,Men's Basketball Championship - East Region - 1st Round,64,wisconsin,3,117.561,103.996,11.49,0.73,20.73,0.1412,0.137631,0.826,68.1416,59.027,28.4324,20.1622,40,montana,14,113.677,108.799,-1.6,0.714,-1.45,0.161184,0.107314,0.736,67.3589,55.2571,20.4571,19.2571,1
10,2025,Men's Basketball Championship - West Region - 1st Round,57,texas tech,3,120.505,101.984,10.62,0.757,23.05,0.143333,0.176348,0.76,67.1276,61.4595,27.3243,17.9189,60,unc wilmington,14,117.785,104.523,-3.95,0.771,2.36,0.163649,0.185327,0.75,67.2171,59.0571,21.6571,21.8571,1
11,2025,Men's Basketball Championship - Midwest Region - 1st Round,48,purdue,4,117.895,107.381,13.91,0.667,20.8,0.158974,0.149223,0.732,65.5244,56.3056,21.6111,19.5,22,high point,13,122.543,103.463,-5.19,0.829,5.3,0.155644,0.167221,0.761,66.6354,58.0286,22.8,21.3143,1
12,2025,Men's Basketball Championship - South Region - 1st Round,56,texas a&m,4,110.608,101.845,13.39,0.676,19.3,0.180496,0.236737,0.692,67.4612,60.2941,22.7353,24.9118,67,yale,13,118.679,102.281,-3.1,0.733,6.66,0.14695,0.160088,0.729,68.504,61.0,19.7,19.1,1
13,2025,Men's Basketball Championship - Midwest Region - 1st Round,11,clemson,5,115.56,99.9196,7.51,0.794,17.81,0.159979,0.17115,0.768,65.8176,59.1765,22.9706,16.7647,33,mcneese,12,116.635,98.1826,-1.05,0.8,9.14,0.164943,0.178435,0.697,65.6503,57.6857,21.2,20.1143,0
14,2025,Men's Basketball Championship - South Region - 1st Round,35,michigan,5,110.635,101.393,13.69,0.73,20.21,0.198261,0.156844,0.728,70.4778,58.3784,24.5135,20.8649,68,uc san diego,12,118.915,92.6227,-1.92,0.857,12.63,0.130605,0.1366,0.746,66.7223,58.8,29.5714,18.9143,1
15,2025,Men's Basketball Championship - East Region - 1st Round,10,byu,6,118.256,105.385,10.21,0.722,19.07,0.175104,0.163807,0.713,68.8478,60.0278,28.5556,18.2778,62,vcu,11,116.389,95.1249,1.3,0.8,14.45,0.170283,0.200104,0.743,66.1086,59.6571,28.6286,19.1429,1
16,2025,Men's Basketball Championship - West Region - 1st Round,39,missouri,6,121.077,106.602,9.49,0.647,19.49,0.157519,0.159222,0.73,69.0859,57.3235,23.7059,27.0,15,drake,11,115.263,97.2476,1.27,0.886,9.6,0.182988,0.166953,0.699,60.5817,50.2571,18.4,21.2571,0
17,2025,Men's Basketball Championship - West Region - 1st Round,26,kansas,7,109.58,100.176,13.56,0.618,20.09,0.170278,0.152065,0.716,69.4365,61.5588,21.0,15.0294,6,arkansas,10,109.858,102.15,11.7,0.611,17.09,0.164489,0.13628,0.739,69.9133,58.75,21.5,20.8889,0
18,2025,Men's Basketball Championship - Midwest Region - 1st Round,59,ucla,7,112.995,99.3297,10.71,0.676,19.68,0.160845,0.163981,0.71,65.6459,57.6471,21.0294,18.6471,61,utah st,10,120.26,105.427,5.35,0.765,13.56,0.161173,0.174899,0.702,66.4247,57.9412,24.7647,21.3529,1
19,2025,Men's Basketball Championship - South Region - 1st Round,30,louisville,8,114.279,101.175,9.49,0.771,18.49,0.164326,0.16183,0.746,68.6789,59.6571,28.5429,20.1143,14,creighton,9,111.583,103.534,11.04,0.694,16.49,0.180701,0.124437,0.728,67.6378,56.6944,27.7222,16.2222,0
20,2025,Men's Basketball Championship - Midwest Region - 1st Round,20,gonzaga,8,122.961,99.499,7.27,0.743,23.75,0.13581,0.156547,0.804,70.2663,63.2,21.2286,19.3714,19,georgia,9,111.23,103.221,10.94,0.606,16.36,0.190604,0.174944,0.717,67.7273,56.6667,20.9697,22.7273,1
21,2025,Men's Basketball Championship - East Region - 1st Round,16,duke,1,126.408,95.3316,10.26,0.897,30.72,0.141362,0.161612,0.79,65.8431,58.6923,26.1538,19.2821,41,mount st marys,16,102.542,103.11,-6.48,0.639,-7.91,0.218571,0.148693,0.736,68.3733,55.9444,22.9722,17.3889,1
22,2025,Men's Basketball Championship - West Region - 1st Round,18,florida,1,121.541,99.7849,12.6,0.9,27.78,0.15914,0.196774,0.728,69.75,62.75,27.425,21.875,44,norfolk st,16,112.69,101.99,-6.65,0.686,-3.72,0.18099,0.149641,0.757,68.3543,56.6571,16.2,21.7143,1
23,2025,Men's Basketball Championship - East Region - 1st Round,2,alabama,2,120.204,107.736,16.14,0.757,25.54,0.168035,0.164452,0.72,75.4346,64.0811,29.8378,25.1892,49,robert morris,15,110.718,102.129,-4.92,0.743,0.4,0.185353,0.180421,0.721,69.52,59.3714,21.7429,22.2857,1
24,2025,Men's Basketball Championship - South Region - 1st Round,36,michigan st,2,113.333,97.9542,11.89,0.811,22.43,0.165623,0.17351,0.779,68.5373,59.2432,19.4865,22.3514,9,bryant,15,112.172,101.825,-6.93,0.657,-1.99,0.162653,0.18225,0.714,72.8983,65.8286,23.2571,19.3143,1
